top - 11:28:34 up  2:29,  2 users,  load average: 0,00, 0,00, 0,07
Tasks: 171 total,   1 running, 170 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10,7 us,  5,3 sy,  0,0 ni, 84,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   3827,3 total,    631,2 free,    289,1 used,   2907,0 buff/cache
MiB Swap:    100,0 total,    100,0 free,      0,0 used.   3371,9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1249 root      20   0   40496   8924   7884 S   0,0   0,2   0:00.05 cups-brow+
 1355 lp        20   0   13832   4616   4032 S   0,0   0,1   0:00.01 dbus
 1356 colord    20   0   49796  12436   9472 S   0,0   0,3   0:00.37 colord
 1365 pi        20   0  170752  51736  38380 S   0,0   1,3   0:14.06 lxterminal
 1797 pi        20   0   31340   5200   4728 S   0,0   0,1   0:27.56 gvfsd-met+
 1817 pi        20   0  129292  32376  24244 S   0,0   0,8   2:22.81 pcmanfm
 1860 pi        20   0   25996   4508   4060 S   0,0   0,1   0:00.88 dconf-ser+
 2624 root      20   0  862156   3112   1980 S   0,0   0,1   0:00.02 docker-pr+
 2632 root      20   0  870608   3304   2144 S   0,0   0,1   0:00.91 docker-pr+
 2647 root      20   0  802820   7216   5700 S   0,0   0,2   0:01.22 container+
 2670 root      20   0  811476  15496  12340 S   0,0   0,4   0:04.25 registry
 2800 root      20   0  852936   3256   2092 S   0,0   0,1   0:00.02 docker-pr+
 2807 root      20   0  862412   3236   2060 S   0,0   0,1   0:00.03 docker-pr+
 2820 root      20   0  803524   7108   5700 S   0,0   0,2   0:01.18 container+
 2844 root      20   0    4188   3184   2708 S   0,0   0,1   0:00.07 nginx
 2967 systemd+  20   0    4436   1544    820 S   0,0   0,0   0:00.01 nginx
 2968 systemd+  20   0    4436   1224    624 S   0,0   0,0   0:00.00 nginx
 2969 systemd+  20   0    4436   1224    624 S   0,0   0,0   0:00.00 nginx
 2970 systemd+  20   0    4436   1224    624 S   0,0   0,0   0:00.00 nginx
 3259 pi        20   0    8516   3608   2716 S   0,0   0,1   0:01.81 bash
 3481 root      20   0  835944  32104  24004 S   0,0   0,8   0:06.35 gitlab-ru+
 3662 pi        20   0   55636   8068   7356 S   0,0   0,2   0:00.08 gvfsd-net+
 3683 pi        20   0   54460   6756   6060 S   0,0   0,2   0:00.03 gvfsd-dns+
 3786 root       0 -20       0      0      0 I   0,0   0,0   0:04.86 kworker/0+
 4046 root       0 -20       0      0      0 I   0,0   0,0   0:00.81 kworker/2+
 7664 root      20   0       0      0      0 I   0,0   0,0   0:00.59 kworker/2+
12915 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/3+
12916 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1+
13636 root      20   0       0      0      0 I   0,0   0,0   0:00.30 kworker/3+
13828 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker/0+
17393 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0+
17396 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2+
17448 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/3+
17449 root      20   0       0      0      0 I   0,0   0,0   0:00.35 kworker/0+
17450 root      20   0       0      0      0 I   0,0   0,0   0:00.33 kworker/u+
17461 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/1+
17462 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/2+
17464 root      20   0       0      0      0 I   0,0   0,0   0:00.16 kworker/0+
17465 root      20   0       0      0      0 I   0,0   0,0   0:00.19 kworker/u+
17466 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworker/1+
17467 root      20   0       0      0      0 I   0,0   0,0   0:00.18 kworker/0+
17468 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/3+
17469 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/1+

top - 11:28:37 up  2:29,  2 users,  load average: 0,00, 0,00, 0,07
Tasks: 171 total,   1 running, 170 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0,2 us,  0,7 sy,  0,0 ni, 98,9 id,  0,0 wa,  0,0 hi,  0,1 si,  0,0 st
MiB Mem :   3827,3 total,    631,4 free,    288,8 used,   2907,1 buff/cache
MiB Swap:    100,0 total,    100,0 free,      0,0 used.   3372,2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
17470 pi        20   0   10296   2956   2624 R   1,0   0,1   0:00.09 top
 1108 root      20   0  829060  31756  23008 S   0,7   0,8   0:10.60 gitlab-ru+
17465 root      20   0       0      0      0 I   0,7   0,0   0:00.21 kworker/u+
  487 root      20   0   48524  22116  12820 S   0,3   0,6   2:09.42 vncserver+
  540 root      20   0  176516  67804  49996 S   0,3   1,7   3:28.60 Xorg
  553 root      20   0   14552   7448   6956 S   0,3   0,2   0:31.11 vncagent
 1365 pi        20   0  170752  51736  38380 S   0,3   1,3   0:14.07 lxterminal
13636 root      20   0       0      0      0 I   0,3   0,0   0:00.31 kworker/3+
17467 root      20   0       0      0      0 I   0,3   0,0   0:00.19 kworker/0+
    1 root      20   0   34888   8380   6504 S   0,0   0,2   0:16.64 systemd
    2 root      20   0       0      0      0 S   0,0   0,0   0:00.03 kthreadd
    3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
    8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu+
    9 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks+
   10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks+
   11 root      20   0       0      0      0 S   0,0   0,0   0:01.93 ksoftirqd+
   12 root      20   0       0      0      0 I   0,0   0,0   0:03.36 rcu_sched
   13 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migration+
   14 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
   16 root      rt   0       0      0      0 S   0,0   0,0   0:00.02 migration+
   17 root      20   0       0      0      0 S   0,0   0,0   0:01.12 ksoftirqd+
   19 root       0 -20       0      0      0 I   0,0   0,0   0:03.04 kworker/1+
   20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
   21 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration+
   22 root      20   0       0      0      0 S   0,0   0,0   0:00.95 ksoftirqd+
   25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0,0   0,0   0:00.01 migration+
   27 root      20   0       0      0      0 S   0,0   0,0   0:01.19 ksoftirqd+
